Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
有野心的创业者,Nhà Khởi Nghiệp Đầy Tham Vọng,,,,tên riêng (tự điền)
有钱的商人,Thương Nhân Giàu Có,,,,tên riêng (tự điền)
朔偃,Sóc Yển,,,,tên riêng (tự điền)
朔月,Mô Tả 1,,,,tên riêng (tự điền)
朔环,Sóc Hoàn,,,,tên riêng (tự điền)
朔行,Sóc Hành,,,,tên riêng (tự điền)
朗月,Aalto đừng có lúc nào cũng coi người ta như con nít chứ!,,,,tên riêng (tự điền)
望子成龙的家长,Phụ huynh mong con thành tài,,,,tên riêng (tự điền)
望月,Đài Trung Khúc,,,,tên riêng (tự điền)
望秀,15,,,,tên riêng (tự điền)
朝阳,Vẫn chưa đến lúc từ bỏ…,,,,tên riêng (tự điền)
期待的友人,Người Bạn Mong Chờ,,,,tên riêng (tự điền)
期待的友人？,Người Bạn Mong Chờ?,,,,tên riêng (tự điền)
期待的声音,Giọng Nói Mong Chờ,,,,tên riêng (tự điền)
期待的学生,Học Sinh Mong Chờ,,,,tên riêng (tự điền)
期待的金库员工,Nhân Viên Kim Khố Chờ Mong,,,,tên riêng (tự điền)
木制训练用剑,<ano=Wooden Training Sword>Kiếm Gỗ Luyện Tập</ano>,Wooden Training Sword,,,tên riêng (tự điền)
木夕,Muxi,,,,tên riêng (tự điền)
木敏,Mộc Mẫn,,,,tên riêng (tự điền)
木棉,Nhập mã đặc trưng Trạm Cuối Vực Minh của người chơi để tìm kiếm,,,,tên riêng (tự điền)
木禺,Muyu,,,,tên riêng (tự điền)
木禺的影像,Hình chiếu của Muyu,,,,tên riêng (tự điền)
木禺虚影,Ảo Ảnh Muyu,,,,tên riêng (tự điền)
木禺虚影（回忆）,Ảo Ảnh Muyu (Hồi Ức),,,,tên riêng (tự điền)
木禺（回忆）,Muyu (Hồi Ức),,,,tên riêng (tự điền)
木箱,Jiyan,,,,tên riêng (tự điền)
木轩,Mộc Hiên,,,,tên riêng (tự điền)
未亡人,Baizhi,,,,tên riêng (tự điền)
未完全与残象融合的人类灵魂,Linh Hồn Con Người Chưa Hoàn Toàn Hợp Nhất Với Tàn Tượng,,,,tên riêng (tự điền)
未知信号,Tín Hiệu Không Xác Định,Unknown signal,,,tên riêng (tự điền)
未知信号的记录,Lv.,,,,tên riêng (tự điền)
未知来电,Cuộc Gọi Chưa Rõ,,,,tên riêng (tự điền)
未知的呓语,Jiyan,,,,tên riêng (tự điền)
未知的声音,Giọng Nói Lạ,,,,tên riêng (tự điền)
未知的残响,1,,,,tên riêng (tự điền)
未知的求救声,Tiếng kêu cứu không tên,,,,tên riêng (tự điền)
未知联系人,Liên Hệ Không Rõ,,,,tên riêng (tự điền)
未署名的信,Bức Thư Không Ký Tên,,,,tên riêng (tự điền)
本地食客,Thực khách bản địa,,,,tên riêng (tự điền)
朱利叶斯,Julius,,,,tên riêng (tự điền)
朱利安,1,,,,tên riêng (tự điền)
朱利欧,Julio,,,,tên riêng (tự điền)
朱塞佩,Giuseppe,,,,tên riêng (tự điền)
朱尔斯,Jules,,,,tên riêng (tự điền)
朱毅,"Còn Uẩn Hòa, tôi từng cảnh báo hắn đừng chìm đắm trong <ano=Past>quá khứ</ano>, nhưng hắn chẳng nghe lọt tai cho đến khi mất hết lý trí.",,,,tên riêng (tự điền)
朱瑞希克,Jurecic,,,,tên riêng (tự điền)
朱诺,8777,,,,tên riêng (tự điền)
朱逸,Loại đạo cụ <ano=Echo>Echo</ano> lỗi,,,,tên riêng (tự điền)
朱雀,Chu Tước,,,,tên riêng (tự điền)
朴实的“流放者”,"""Kẻ Lưu Đày"" Chất Phác",,,,tên riêng (tự điền)
朴实的流放者,"Thứ trong <ano=Cocoon>Kén</ano>, là <ano=Rover>Rover</ano> có thể <ano=Absorb>Hấp Thụ</ano> <ano=Threnodian Power>Sức mạnh Minh Thức</ano>… Hừ, <ano=Threnodian>Minh Thức</ano> sắp Hồi Sinh, những <ano=note>nốt nhạc</ano> hỗn loạn đã hội tụ lại vào lúc này.",,,,tên riêng (tự điền)
朵妮,Doni,,,,tên riêng (tự điền)
朵拉朵,Dorado,,,,tên riêng (tự điền)
机傀,Cơ Khôi,,,,tên riêng (tự điền)
机傀丙,Cơ Khôi Bính,,,,tên riêng (tự điền)
机傀乙,Cơ Khôi Ất,,,,tên riêng (tự điền)
机傀村民？,Dân Làng Cơ Khôi?,,,,tên riêng (tự điền)
机傀村长？,Trưởng Làng Cơ Khôi?,,,,tên riêng (tự điền)
机傀检修报告,Báo cáo bảo trì Cơ Khôi,,,,tên riêng (tự điền)
机傀残骸,Xác Cơ Khôi,,,,tên riêng (tự điền)
机傀甲,Cơ Khôi Giáp,,,,tên riêng (tự điền)
机傀？,Cơ Khôi?,,,,tên riêng (tự điền)
机关核心,Lõi Cơ Quan,,,,tên riêng (tự điền)
机关盒,Jiyan,,,,tên riêng (tự điền)
机卫一&机戍四&机袭三,Cơ Vệ Một&Cơ Thú Bốn&Cơ Tập Ba,,,,tên riêng (tự điền)
机巧伶,Cơ Xảo Linh,,,,tên riêng (tự điền)
机敏的学生,Học Sinh Nhanh Trí,,,,tên riêng (tự điền)
机械人偶“悬丝”,Yangyang,,,,tên riêng (tự điền)
机械师A,Thợ Máy A,,,,tên riêng (tự điền)
机械音,Âm Thanh Cơ Khí,,,,tên riêng (tự điền)
杂货摊摊主,Chủ sạp tạp hóa,,,,tên riêng (tự điền)
杂音,Tạp Âm,,,,tên riêng (tự điền)
杉山老师,Thầy Sugiyama,,,,tên riêng (tự điền)
杉德尔,Sander,,,,tên riêng (tự điền)
李林,Lý Lâm,,,,tên riêng (tự điền)
李桑,Lisan,,,,tên riêng (tự điền)
李白,Lý Bạch,,,,tên riêng (tự điền)
杏竺,Ngưng Băng Khí Động,,,,tên riêng (tự điền)
村民,Dân làng,,,,tên riêng (tự điền)
村民1,Dân Làng 1,,,,tên riêng (tự điền)
村民2,Dân Làng 2,,,,tên riêng (tự điền)
村民3,Dân Làng 3,,,,tên riêng (tự điền)
村民（通讯中）,Dân làng,,,,tên riêng (tự điền)
杜克,Duke,,,,tên riêng (tự điền)
杜柯,Du Ke,,,,tên riêng (tự điền)
杜瓦,Duwa,,,,tên riêng (tự điền)
杜甫,Đỗ Phủ,,,,tên riêng (tự điền)
杜阿尔特,Duarte,,,,tên riêng (tự điền)
来源不明的录音,Bản Ghi Âm Không Rõ Nguồn Gốc,,,,tên riêng (tự điền)
来福？,Lai Fu?,,,,tên riêng (tự điền)
来福？（山猫妖）,Lai Fu? (Linh Miêu Yêu),,,,tên riêng (tự điền)
来自寂静之中的声音,Giọng Nói Từ Sự Im Lặng,,,,tên riêng (tự điền)
来自尽头的目光【纯白之塔】,Ánh Mắt Từ Cùng Tận [Tháp Trắng Tinh Khiết],,,,tên riêng (tự điền)
来自海底般的声音,Tiếng Ồn Từ Đáy Biển,,,,tên riêng (tự điền)
来路不明的留言,Lời Nhắn Không Rõ Nguồn Gốc,,,,tên riêng (tự điền)
杨杰,Dương Kiệt,,,,tên riêng (tự điền)
杨艮,Dương Cấn,,,,tên riêng (tự điền)
杰曼诺塔,Germanotta,,,,tên riêng (tự điền)
杰森,Jason,,,,tên riêng (tự điền)
杰罗米,Jeromy,,,,tên riêng (tự điền)
松动的外壳,00,,,,tên riêng (tự điền)
松口的观众,Khán giả chịu mở lời,,,,tên riêng (tự điền)
松年,Tùng Niên,,,,tên riêng (tự điền)
松迪丝,Sundis,,,,tên riêng (tự điền)
松迪丝（通讯中）,Sundis,,,,tên riêng (tự điền)
松迪斯,Sundis,,,,tên riêng (tự điền)
松风,Tùng Phong,,,,tên riêng (tự điền)
极道波仔,Namipon Yakuza,,,,tên riêng (tự điền)
枕书,Chẩm Thư,,,,tên riêng (tự điền)
枕流,Zhenliu,,,,tên riêng (tự điền)
林夏,Lâm Hạ,,,,tên riêng (tự điền)
林宇,Sinh Lực,,,,tên riêng (tự điền)
林念,Lâm Niệm,,,,tên riêng (tự điền)
林玲,Lâm Linh,,,,tên riêng (tự điền)
林素,9999,,,,tên riêng (tự điền)
林赛,Lindsey,,,,tên riêng (tự điền)
林邦,Lâm Bang,,,,tên riêng (tự điền)
果断的买家【D】,Người Mua Quả Quyết [D],,,,tên riêng (tự điền)
果断的买家【影片监制】,Người Mua Quả Quyết [Sản Xuất Phim],,,,tên riêng (tự điền)
果果,"Con non của loài bò sát thường gặp ở <ano=Desorock Highlands>Cao Nguyên Hoang Thạch</ano>. Theo nhân chứng kể lại, chúng thường đi theo Thể trưởng thành để Hành động và phối hợp Săn mồi, mang một mức độ nguy hiểm nhất định.",,,,tên riêng (tự điền)
枝韬,Zhitao,,,,tên riêng (tự điền)
枫柏,Phong Bách,,,,tên riêng (tự điền)
枫琴,Phong Cầm,,,,tên riêng (tự điền)
枯木,¥30,,,,tên riêng (tự điền)
枯萎的树【人文爱好者】,Cây Khô Héo [Người Yêu Văn Hóa],,,,tên riêng (tự điền)
柏松,Yangyang,,,,tên riêng (tự điền)
柏爷,Ông Bách,,,,tên riêng (tự điền)
柏翠丝,Beatrice,,,,tên riêng (tự điền)
某个可能的选择,Một Lựa Chọn Có Thể,,,,tên riêng (tự điền)
某个声音,Một Giọng Nói Nào Đó,,,,tên riêng (tự điền)
某个尤诺的选择,Lựa Chọn Của Iuno,,,,tên riêng (tự điền)
某人的留言【神秘便签】,Lời Nhắn Của Ai Đó [Mẩu Giấy Bí Ẩn],,,,tên riêng (tự điền)
某同学,Một Bạn Học Nào Đó,,,,tên riêng (tự điền)
某学生,Một Học Sinh Nào Đó,,,,tên riêng (tự điền)
某日的日程安排,Lịch Trình Một Ngày Nọ,,,,tên riêng (tự điền)
柒柒,Thất Thất,,,,tên riêng (tự điền)
柚叶,Yuzuha,,,,tên riêng (tự điền)
查普尔,Chappell,,,,tên riêng (tự điền)
查特,Chat,,,,tên riêng (tự điền)
柯伊尔,Coyle,,,,tên riêng (tự điền)
柯内莉亚,Cornelia,,,,tên riêng (tự điền)
柯博,Cobo,,,,tên riêng (tự điền)
柯妮,4000,,,,tên riêng (tự điền)
柯布·科波,Cobb Copo,,,,tên riêng (tự điền)
柯德莉,8777,,,,tên riêng (tự điền)
柯林斯医生,Bác Sĩ Collins,,,,tên riêng (tự điền)
柯温,Curwen,,,,tên riêng (tự điền)
柯特,Kurt,,,,tên riêng (tự điền)
柯特妮,Courtney,,,,tên riêng (tự điền)
柯琳,Colin,,,,tên riêng (tự điền)
柯莫西,Comosi,,,,tên riêng (tự điền)
柯莱因,Klein,,,,tên riêng (tự điền)
柯莱塔,Cantarella,,,,tên riêng (tự điền)
柯莱塔留下的字条,Mẩu Giấy Coletta Để Lại,,,,tên riêng (tự điền)
柯萨,Kosa,,,,tên riêng (tự điền)
柯西,Cauchy,,,,tên riêng (tự điền)
柯西莫,Comaso,,,,tên riêng (tự điền)
柯赛尔,Kersel,,,,tên riêng (tự điền)
柯里昂,Corleone,,,,tên riêng (tự điền)
柳博芙,Lyubov,,,,tên riêng (tự điền)
柳卿,Yangyang,,,,tên riêng (tự điền)
柳爷,Liễu Gia,,,,tên riêng (tự điền)
柳芳,Liu Fang,,,,tên riêng (tự điền)
柳雯,Liuwen,,,,tên riêng (tự điền)
柾木,Masaki,,,,tên riêng (tự điền)
栀音,Chi Âm,,,,tên riêng (tự điền)
标准技能升级补给包,Speaker_546_Name,,,,tên riêng (tự điền)
标准武器突破补给包,Speaker_538_Name,,,,tên riêng (tự điền)
标准角色突破补给包,"<ano=Present>Giờ đây</ano>, mình muốn nói với cậu với tư cách một người bạn: đừng vì áp lực hay cái gọi là trách nhiệm mà ép bản thân phải giúp bọn mình.",,,,tên riêng (tự điền)
标致的笔迹【留言便笺】,Nét Chữ Đẹp Đẽ [Mẩu Giấy Nhắn],,,,tên riêng (tự điền)
树赫,"<ano=card>Calcharo</ano> không thuộc về đội nào, xưa nay luôn một mình một bóng.",,,,tên riêng (tự điền)
栗静,Lật Tĩnh,,,,tên riêng (tự điền)
校尉,Hiệu Úy,,,,tên riêng (tự điền)
校工,Lao Công,,,,tên riêng (tự điền)
栩栩,V,,,,tên riêng (tự điền)
格兰,Gren,,,,tên riêng (tự điền)
格兰姆,Gram,,,,tên riêng (tự điền)
格兰德,Grande,,,,tên riêng (tự điền)
格兰诺姆,Granom,,,,tên riêng (tự điền)
格利泽,Gliese,,,,tên riêng (tự điền)
格奈乌斯,Gnaeus,,,,tên riêng (tự điền)
格奥尔格,Georg,,,,tên riêng (tự điền)
格拉图伊,Gratuy,,,,tên riêng (tự điền)
格拉文达,Gravenda,,,,tên riêng (tự điền)
格拉格,Grag,,,,tên riêng (tự điền)
格拉西亚,Gracia,,,,tên riêng (tự điền)
格拉诺拉,Granelle,,,,tên riêng (tự điền)
格曼,Germain,,,,tên riêng (tự điền)
格朗蒂诺家家主,Gia chủ nhà Grandino,,,,tên riêng (tự điền)
格朗蒂诺家经纪人,Người Quản Lý Nhà Grandino,,,,tên riêng (tự điền)
格朗蒂诺家角斗士,Đấu Sĩ Nhà Grandino,,,,tên riêng (tự điền)
格涅夏,Gnesha,,,,tên riêng (tự điền)
格瑞塔,Gretchen,,,,tên riêng (tự điền)
格罗拉,Grola,,,,tên riêng (tự điền)
格蕾,Grey,,,,tên riêng (tự điền)
格蕾塔,Greta,,,,tên riêng (tự điền)
格赫萝,Gehro,,,,tên riêng (tự điền)
格里夫,Griff,,,,tên riêng (tự điền)
格里玛斯,Grimas,,,,tên riêng (tự điền)
格雷厄姆,Graham,,,,tên riêng (tự điền)
格雷戈尔,Gregor,,,,tên riêng (tự điền)
格雷戈里,Gregory,,,,tên riêng (tự điền)
桂妮,Gwennie,,,,tên riêng (tự điền)
桃祈,Aalto,Taoqi,,,tên riêng (tự điền)
桃祈的回音频段,1,Taoqi's Reverberation Waveband,,,tên riêng (tự điền)
桃祈（通讯中）,Name1,,,,tên riêng (tự điền)
桅杆上的飞侠【飞刀船长】,Hiệp Khách Trên Cột Buồm [Thuyền Trưởng Phi Đao],,,,tên riêng (tự điền)
桑尼,Sunny,,,,tên riêng (tự điền)
桑德兰,Sanderland,,,,tên riêng (tự điền)
桑德尔,Sander,,,,tên riêng (tự điền)
桑德拉,Sandra,,,,tên riêng (tự điền)
桑德蕾拉,Sandrella,,,,tên riêng (tự điền)
桑德雷克斯,0,,,,tên riêng (tự điền)
桑托,16,,,,tên riêng (tự điền)
桑托莱克,Santorek,,,,tên riêng (tự điền)
桑普,Sampe,,,,tên riêng (tự điền)
桑榆,Sangyu,,,,tên riêng (tự điền)
桑蒂,Santi,,,,tên riêng (tự điền)
桔梗,Lv.18,,,,tên riêng (tự điền)
桔梗（通讯中）,Kikyo,,,,tên riêng (tự điền)
桦林,Cậu là người Jiyan <ano=pie>phái</ano> đến chi viện <ano=We Are One>chúng tôi</ano> sao?,,,,tên riêng (tự điền)
梅丽娜,Melina,,,,tên riêng (tự điền)
梅丽莎,Melissa,,,,tên riêng (tự điền)
梅伦,Maren,,,,tên riêng (tự điền)
梅塔,Merta,,,,tên riêng (tự điền)
梅尔,Mel,,,,tên riêng (tự điền)
梅尔尼克,Melnik,,,,tên riêng (tự điền)
梅尔维,Melvi,,,,tên riêng (tự điền)
梅戈里拉,Megorila,,,,tên riêng (tự điền)
梅杜利乌斯,Medullius,,,,tên riêng (tự điền)
梅根,Megan,,,,tên riêng (tự điền)
梅森,Mason,,,,tên riêng (tự điền)
梅洛斯,Maelstrom,,,,tên riêng (tự điền)
梅维尔,Mabel,,,,tên riêng (tự điền)
梅芙,Maeve,,,,tên riêng (tự điền)
梅苏拉,Mesura,,,,tên riêng (tự điền)
梅莉雅,Melia,,,,tên riêng (tự điền)
梅里尔,Merrill,,,,tên riêng (tự điền)
梦奈,Mộng Nại,,,,tên riêng (tự điền)
梦魇亚当·重锤,Ác Mộng Adam · Búa Nặng,,,,tên riêng (tự điền)
梦魇公司狗,Ác Mộng Chó Công Ty,,,,tên riêng (tự điền)
梦魇残象的声音,Tiếng Nói Của Tàn Tượng Ác Mộng,,,,tên riêng (tự điền)
梧清,Ngô Thanh,,,,tên riêng (tự điền)
梧澈,Ngô Triệt,,,,tên riêng (tự điền)
梧黎,Wuli,,,,tên riêng (tự điền)
检查材料的研究员,Nghiên Cứu Viên Kiểm Tra Tài Liệu,,,,tên riêng (tự điền)
棕色领头猿,Vượn Đầu Đàn Màu Nâu,,,,tên riêng (tự điền)
森敏,x999,,,,tên riêng (tự điền)
森栖牛,1,,,,tên riêng (tự điền)
森栖锅,<ano=Morri Pot>Lẩu Morri</ano>,Morri Pot,,,tên riêng (tự điền)
森栖锅食谱,8777,Recipe: Morri Pot,,,tên riêng (tự điền)
森甫,"Người trước mặt này chính là người phụ trách truy tìm <ano=Obsecurers>Dạ Quy</ano> những kẻ Vượt Tần, tên là Yinlin.",,,,tên riêng (tự điền)
椋羽,Liangyu,,,,tên riêng (tự điền)
椋羽（通讯中）,Liangyu,,,,tên riêng (tự điền)
椋羽（通讯）,Liangyu,,,,tên riêng (tự điền)
植珀,<ano=Rover>Rover</ano>,Plantamber,,,tên riêng (tự điền)
椎思,Chùy Tư,,,,tên riêng (tự điền)
椿的回音频段,1,Tsubaki's Reverberation Waveband,,,tên riêng (tự điền)
椿的手下败将团子,Đoàn Tử Bại Tướng Của Camellya,,,,tên riêng (tự điền)
楼宗,Lâu Tông,,,,tên riêng (tự điền)
槐民,Hòe Dân,,,,tên riêng (tự điền)
槐话,Huaihua,,,,tên riêng (tự điền)
模拟系统,Hệ Thống Mô Phỏng,,,,tên riêng (tự điền)
模糊不清的声音,Giọng Nói Mơ Hồ,,,,tên riêng (tự điền)
模糊不清的声音（心）,Giọng Nói Mơ Hồ (Hsin),,,,tên riêng (tự điền)
模糊且元气的女声,Giọng nữ tràn đầy sức sống mơ hồ,,,,tên riêng (tự điền)
模糊且温柔的女声,Sinh Lực,,,,tên riêng (tự điền)
模糊的人影,Bóng Người Mờ Nhạt,,,,tên riêng (tự điền)
模糊的刻字,-50%,,,,tên riêng (tự điền)
模糊的刻痕,Vết Khắc Mờ,,,,tên riêng (tự điền)
模糊的回声,Tiếng Vọng Mơ Hồ,,,,tên riêng (tự điền)
模糊的声音,¥30,,,,tên riêng (tự điền)
模糊的女子影像,05,,,,tên riêng (tự điền)
模糊的影子,Bóng Hình Mờ Ảo,,,,tên riêng (tự điền)
横牙岭,1,,,,tên riêng (tự điền)
橙叶,Trừng Diệp,,,,tên riêng (tự điền)
橡木果,5,,,,tên riêng (tự điền)
檀契,Đàn Khế,,,,tên riêng (tự điền)
次郎,Jiro,,,,tên riêng (tự điền)
欢呼的青年,Thanh Niên Hoan Hô,,,,tên riêng (tự điền)
欢愉的男人,6,,,,tên riêng (tự điền)
欢欣的女声,500/1000,,,,tên riêng (tự điền)
欢流,Lv.18,,,,tên riêng (tự điền)
欣喜的歌友会成员,Thành Viên Hội Bạn Hát Vui Mừng,,,,tên riêng (tự điền)
欣欣,Yangyang,,,,tên riêng (tự điền)
欣美,Hân Mỹ,,,,tên riêng (tự điền)
欧博若司,Sinh Lực,,,,tên riêng (tự điền)
欧姆,Om,,,,tên riêng (tự điền)
欧容,Ozon,,,,tên riêng (tự điền)
欧律狄刻,Eurydice,,,,tên riêng (tự điền)
欧泊般闪耀的少女【新任家主】,Cô Gái Tỏa Sáng Như Đá Opal [Gia Chủ Mới],,,,tên riêng (tự điền)
欧良,Âu Lương,,,,tên riêng (tự điền)
欧蒂乐,Odile,,,,tên riêng (tự điền)
欧野,Âu Dã,,,,tên riêng (tự điền)
欧黛,Ode,,,,tên riêng (tự điền)
歌者,Ca Giả,,,,tên riêng (tự điền)
正义的伙伴【炽焰游侠】,Đồng Đội Của Công Lý [Du Hiệp Lửa Cháy],,,,tên riêng (tự điền)
正义的官员,Quan Chức Chính Nghĩa,,,,tên riêng (tự điền)
正在为新生讲解的老师,Giáo Viên Đang Giảng Giải Cho Tân Sinh,,,,tên riêng (tự điền)
